Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
315.54,317.32,311.11,317.06,12048900,13.4980136062979,323.694527212596,269.702472787404,308.31,310.37,319.01,313.01,309.55,313.212,307.921,296.6985,273.7178,251.26115,312.287152202474,312.287152202474,312.287152202474,312.287152202474,312.287152202474,12.1714117179572,11.1111005143775,7.04526936529359,56.4763299883824,1333.33333333333,8.4707492302429,73.389836199359,-10.2610493667614,89.7389506332386,0.0233737334201348,105427875,522440304,17,2,290,42,0,0,0,0,0,0,0,2007,10,47.56,46.95,47.18,47.52,47.102,46.286,44.1213999999999,1541.24,1538.53,1562.47,13892.54,13912.94,14078.69,320.13
318.02,321.01,314.56,320.13,24553800,13.6035492562947,326.077598512589,271.66340148741,317.06,308.31,310.37,311.31,315.54,314.976,310.954,298.8705,274.8574,251.69165,314.901434801649,314.901434801649,314.901434801649,314.901434801649,314.901434801649,12.442186609002,11.3773177333024,7.00275012491548,57.6644875629471,1333.33333333333,10.4658385093168,74.8643887858346,-2.50417362270444,97.4958263772956,0.0230189405456814,75380165.9999998,1066617072,18,3,291,42,0,0,0,0,0,0,0,2007,10,47.76,47.56,46.95,46.77,47.28,46.4535,44.2096,1540.08,1541.24,1554.41,13888.96,13892.54,14015.12,322.68
327.61,329.57,321.94,322.68,31546400,13.8593318742288,328.706663748458,273.269336251542,320.13,317.06,308.31,319.01,318.02,315.71,313.49,300.988,276.1586,252.0957,317.494289867766,317.494289867766,317.494289867766,317.494289867766,317.494289867766,12.7159596819401,11.64504612303,7.17683940170723,59.1069747771762,1333.33333333333,8.52953047221849,76.0514638391921,-16.9079754601227,83.0920245398773,0.0206757539445818,80443320.0000004,1335990040,19,4,292,42,0,0,0,0,0,0,0,2007,10,46.57,47.76,47.56,47.54,47.246,46.546,44.294,1500.63,1540.08,1561.8,13522.02,13888.96,14093.08,325.7
319.65,327.83,318.46,325.7,13315400,14.3190356463737,331.696571292747,274.420428707253,322.68,320.13,317.06,310.37,327.61,318.776,315.548,303.0585,277.51,252.505,320.229526578511,320.229526578511,320.229526578511,320.229526578511,320.229526578511,13.0264547142201,11.921327841268,7.33349373015671,59.5346401754193,1333.33333333333,6.74488725747247,77.4120232361387,-9.49693251533743,90.5030674846626,0.0124396525857043,40212507.9999998,551390714,22,0,295,43,0,0,0,0,0,0,0,2007,10,47.13,46.57,47.76,47.18,47.239,46.656,44.3972,1506.33,1500.63,1548.71,13566.97,13522.02,13984.8,338.22
330.96,339.14,330.33,338.22,13573800,15.6526384105218,337.035776821044,274.425223178956,325.7,322.68,320.13,308.31,319.65,324.758,318.58,305.7305,279.1142,252.98595,326.226351052341,326.226351052341,326.226351052341,326.226351052341,326.226351052341,14.1200168652745,12.3610656460693,7.76967274943123,60.4323178116397,1333.33333333333,9.84735303670024,81.9821107454873,-1.82829888712234,98.1717011128777,0.0138488501245931,169943976.000001,725383872.000001,23,1,296,43,0,0,0,0,0,0,0,2007,10,48.12,47.13,46.57,46.95,47.31,46.7945,44.5146,1519.59,1506.33,1538.53,13676.23,13566.97,13912.94,338.25
336.69,339.07,330.11,338.25,14793500,16.4007536733117,341.226507346624,275.623492653376,338.22,325.7,322.68,317.06,330.96,328.996,321.104,308.425,280.7882,253.46225,330.234234034894,330.234234034894,330.234234034894,330.234234034894,330.234234034894,14.8182776176358,12.8525080403826,7.85469612447186,61.2143921470503,1333.33333333333,8.06364013929268,81.9915128705325,-1.96294662549622,98.0370533745038,0.0146923331102034,443804.999999596,797221715,24,2,297,43,0,0,0,0,0,0,0,2007,10,47.75,48.12,47.13,47.56,47.333,46.903,44.639,1515.88,1519.59,1541.24,13675.25,13676.23,13892.54,334.59
339.68,339.82,332.11,334.59,11579400,16.3391445050808,343.631289010162,278.274710989838,338.25,338.22,325.7,320.13,336.69,331.888,323.432,310.953,282.4996,253.91035,331.686156023263,331.686156023263,331.686156023263,331.686156023263,331.686156023263,14.9045129350969,13.2629090193255,7.84436068700958,61.9715587666886,1333.33333333333,7.47807651537052,76.7308935077555,-12.2914218566393,87.7085781433607,0.0183042934338584,-42380604.0000003,585454464,25,3,298,43,0,0,0,0,0,0,0,2007,10,47.11,47.75,48.12,47.76,47.367,46.968,44.7664,1514.4,1515.88,1540.08,13671.92,13675.25,13888.96,337.64
337.35,338.61,334.36,337.64,6701000,16.0746714462623,345.788342892525,281.489657107475,334.59,338.25,338.22,322.68,339.68,334.88,325.295,313.639,284.3322,254.348,333.670770682175,333.670770682175,333.670770682175,333.670770682175,333.670770682175,15.0455290620525,13.6194330278709,7.58762063793747,62.6746420563527,1333.33333333333,5.83994232155732,77.9977805896942,-6.1721404303511,93.8278595696489,0.0182951633428708,20438050.0000001,359977720,26,4,299,43,0,0,0,0,0,0,0,2007,10,47.89,47.11,47.75,46.57,47.402,47.0795,44.9174,1535.28,1514.4,1500.63,13806.7,13671.92,13522.02,339.95
339.22,340.34,336.38,339.95,6126400,16.2184153291711,348.494830658342,283.621169341658,337.64,334.59,338.25,325.7,337.35,337.73,328.253,316.058,286.1258,254.784,335.76384712145,335.76384712145,335.76384712145,335.76384712145,335.76384712145,15.1688262662251,13.9293116755417,7.32850487808479,63.4058856782774,1333.33333333333,9.53056029899796,78.9332973858172,-1.09735509285309,98.9026449071469,0.0183255678979301,14151984,296395232,29,0,302,44,0,0,0,0,0,0,0,2007,10,48.09,47.89,47.11,47.13,47.493,47.175,45.057,1540.98,1535.28,1506.33,13870.26,13806.7,13566.97,347.73
339.09,350.31,339.09,347.73,13787300,16.69036122721,352.20072245442,285.43927754558,339.95,337.64,334.59,338.22,339.22,339.632,332.195,318.82,288.0962,255.2607,339.752564747633,339.752564747633,339.752564747633,339.752564747633,339.752564747633,15.7131893034973,14.2860872011328,7.60646881536445,64.4614317311369,1333.33333333333,12.7858324413739,81.7480861490373,-5.66908371786417,94.3309162821358,0.0123763766482002,107265194,761610452,30,1,303,44,0,0,0,0,0,0,0,2007,10,48.19,48.09,47.89,48.12,47.617,47.275,45.1948,1531.02,1540.98,1519.59,13792.47,13870.26,13676.23,353.85
